2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[org.apache.zookeeper.ClientCnxn] onto the JUL framework
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.zookeeper.server.NIOServerCnxn] to ERROR
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[org.apache.zookeeper.server.NIOServerCnxn] onto the JUL framework
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.zookeeper.server.NIOServerCnxnFactory] to ERROR
2019-06-28 20:53:16,232 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[org.apache.zookeeper.server.NIOServerCnxnFactory] onto the JUL framework
2019-06-28 20:53:16,232 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.zookeeper.server.quorum] to ERROR
2019-06-28 20:53:16,232 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[org.apache.zookeeper.server.quorum] onto the JUL framework
2019-06-28 20:53:16,232 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.zookeeper.ZooKeeper] to ERROR
2019-06-28 20:53:16,232 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[org.apache.zookeeper.ZooKeeper] onto the JUL framework
2019-06-28 20:53:16,232 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.zookeeper.server.PrepRequestProcessor] to ERROR
2019-06-28 20:53:16,232 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,204 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating ERROR level on Logger[org.apache.zookeeper.server.PrepRequestProcessor] onto the JUL framework
