CODE_PAYS;CODE_MARQUE;CODE_CLIENT_ORDER;NOM_CLIENT_ORDER;VIN;CODE_CANAL_VN;L_CANAL;Type_LLD;F2MLInformation;NUM_IMMATRICULATION;GENRE;REF_VERSION;L_MODELE;L_VERSION_VEH;KM_ENTREE_PHYSIQUE;DATE_MEC_CLEAN;PRIX_VENTEVO_HT;PRIX_VENTEVO_TTC;HAB_EXT;LIBELLE_COULEUR;EMPTY_COLUMN
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF38URHCMFL031143;F250;F2ML;;;DT-796-KN;VP;PEUGEOT;508 RXH;508 RXH 2,0L HDi 163 S&S ETG6 + moteur �lectrique;83594;20/07/2015 00:00;14100;16920;M6N9;BLANC NACRE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CC8HR0DT116083;F250;F2ML;;;CX-711-YZ;VU;PEUGEOT;208 VU;208 affaire  5 portes Pack CD Clim FAP BVM5 68ch;130832;22/08/2013 00:00;2500;3000;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CC8HR0DT150489;F250;F2ML;;;DB-014-XA;VU;PEUGEOT;208 VU;208 affaire  5 portes Pack CD Clim FAP BVM5 68ch;116649;31/12/2013 00:00;3050;3660;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CC8HR0FT080900;F250;F2ML;;;DR-830-YJ;VU;PEUGEOT;208 VU;208 affaire 5 portes Pack CD Clim 1,4L HDi 68 BVM5;102655;29/05/2015 00:00;2850;3420;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CC9HP0FT025060;F250;F2ML;;;DP-037-CK;VU;PEUGEOT;208 VU;208 affaire 5 portes Pack Clim Confort 1,6L e-HDi 92 BVM5;112446;17/02/2015 00:00;4100;4920;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CC9HP0FT039943;F250;F2ML;;;DP-696-VL;VU;PEUGEOT;208 VU;208 affaire 5 portes Pack Clim Confort 1,6L e-HDi 92 BVM5;117626;13/03/2015 00:00;3550;4260;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CC9HPKFW007933;F250;F2ML;;;DR-043-EA;VP;PEUGEOT;208;208 Business R 5p 1,6L e-HDi BVM5 92;126435;30/04/2015 00:00;4300;5160;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CCBHY6GT125734;F250;F2ML;;;EC-571-MP;VP;PEUGEOT;208;208 Allure Business 1,6L BlueHDi 100 S&S BVM5 5ptes;42427;26/05/2016 00:00;7700;9240;M09V;NOIR PERLA NERA;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CU9HP0EY077162;F250;F2ML;;;DH-753-MR;VP;PEUGEOT;2008;2008 Business Pack 1,6L e-HDi 92ch BVM5;73501;09/07/2014 00:00;7350;8820;M0VL;EVL  GRIS PLATINIUM;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CU9HP0EY156165;F250;F2ML;;;DN-912-JB;VP;PEUGEOT;2008;2008 Business Pack 1,6L e-HDi 92 BVM5;65143;19/01/2015 00:00;7100;8520;M0F4;KCA  GRIS ARTENSE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CU9HP0FY018396;F250;F2ML;;;DP-020-CE;VP;PEUGEOT;2008;2008 Business Pack 1,6L e-HDi 92 BVM5;108678;17/02/2015 00:00;6650;7980;M0VL;EVL  GRIS PLATINIUM;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CU9HP0FY018398;F250;F2ML;;;DN-044-YF;VP;PEUGEOT;2008;2008 Business Pack 1,6L e-HDi 92 BVM5;95054;10/02/2015 00:00;6850;8220;M0VL;EVL  GRIS PLATINIUM;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CU9HP0FY048284;F250;F2ML;;;DR-440-GL;VP;PEUGEOT;2008;2008 Business Pack 1,6L e-HDi 92 BVM5;60366;05/05/2015 00:00;7700;9240;M0VL;EVL  GRIS PLATINIUM;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CU9HP0FY049041;F250;F2ML;;;DQ-569-HN;VP;PEUGEOT;2008;2008 Business Pack 1,6L e-HDi 92 BVM5;51322;31/03/2015 00:00;7600;9120;M0VL;EVL  GRIS PLATINIUM;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF3CUBHZMFY045191;F250;F2ML;;;DQ-440-JW;VP;PEUGEOT;2008;2008 Business Pack 1,6L BlueHDI 120 BVM6;54257;01/04/2015 00:00;7900;9480;M0VL;EVL  GRIS PLATINIUM;
